"Title","Implied deflator:47.19:Non-specialised stores - year on year%"
"CDID","A4VL"
"Source dataset ID","DRSI"
"PreUnit",""
"Unit","%"
"Release date","17-02-2023"
"Next release","24 March 2023"
"Important notes",
"1989 JAN","4.2"
"1989 FEB","4.4"
"1989 MAR","4.3"
"1989 APR","5.1"
"1989 MAY","4.9"
"1989 JUN","4.8"
"1989 JUL","4.8"
"1989 AUG","4.8"
"1989 SEP","5.0"
"1989 OCT","5.1"
"1989 NOV","5.2"
"1989 DEC","5.3"
"1990 JAN","5.4"
"1990 FEB","5.5"
"1990 MAR","5.8"
"1990 APR","5.5"
"1990 MAY","5.6"
"1990 JUN","5.5"
"1990 JUL","5.0"
"1990 AUG","5.6"
"1990 SEP","6.0"
"1990 OCT","5.8"
"1990 NOV","5.8"
"1990 DEC","5.5"
"1991 JAN","5.5"
"1991 FEB","5.6"
"1991 MAR","5.6"
"1991 APR","6.9"
"1991 MAY","6.8"
"1991 JUN","7.1"
"1991 JUL","7.1"
"1991 AUG","6.9"
"1991 SEP","6.7"
"1991 OCT","6.6"
"1991 NOV","6.4"
"1991 DEC","6.3"
"1992 JAN","5.3"
"1992 FEB","5.2"
"1992 MAR","5.4"
"1992 APR","3.7"
"1992 MAY","3.5"
"1992 JUN","3.3"
"1992 JUL","3.4"
"1992 AUG","3.1"
"1992 SEP","3.1"
"1992 OCT","2.8"
"1992 NOV","2.5"
"1992 DEC","2.3"
"1993 JAN","2.3"
"1993 FEB","2.5"
"1993 MAR","2.5"
"1993 APR","2.5"
"1993 MAY","2.4"
"1993 JUN","1.9"
"1993 JUL","1.8"
"1993 AUG","2.3"
"1993 SEP","2.3"
"1993 OCT","2.0"
"1993 NOV","2.0"
"1993 DEC","1.9"
"1994 JAN","1.8"
"1994 FEB","1.8"
"1994 MAR","1.6"
"1994 APR","0.9"
"1994 MAY","0.9"
"1994 JUN","1.3"
"1994 JUL","0.7"
"1994 AUG","1.1"
"1994 SEP","0.7"
"1994 OCT","0.9"
"1994 NOV","1.2"
"1994 DEC","1.5"
"1995 JAN","1.9"
"1995 FEB","1.6"
"1995 MAR","1.8"
"1995 APR","2.5"
"1995 MAY","3.0"
"1995 JUN","2.9"
"1995 JUL","3.3"
"1995 AUG","2.7"
"1995 SEP","3.1"
"1995 OCT","3.0"
"1995 NOV","2.8"
"1995 DEC","2.8"
"1996 JAN","2.2"
"1996 FEB","2.5"
"1996 MAR","2.5"
"1996 APR","2.3"
"1996 MAY","2.0"
"1996 JUN","2.0"
"1996 JUL","2.0"
"1996 AUG","2.0"
"1996 SEP","2.1"
"1996 OCT","2.0"
"1996 NOV","2.2"
"1996 DEC","2.1"
"1997 JAN","1.9"
"1997 FEB","1.6"
"1997 MAR","2.0"
"1997 APR","1.5"
"1997 MAY","1.3"
"1997 JUN","1.2"
"1997 JUL","1.1"
"1997 AUG","1.3"
"1997 SEP","1.0"
"1997 OCT","0.9"
"1997 NOV","1.0"
"1997 DEC","1.2"
"1998 JAN","0.5"
"1998 FEB","1.3"
"1998 MAR","1.1"
"1998 APR","0.7"
"1998 MAY","1.3"
"1998 JUN","1.2"
"1998 JUL","1.3"
"1998 AUG","1.0"
"1998 SEP","1.0"
"1998 OCT","0.8"
"1998 NOV","0.8"
"1998 DEC","1.2"
"1999 JAN","0.9"
"1999 FEB","0.3"
"1999 MAR","0.0"
"1999 APR","-0.2"
"1999 MAY","-0.4"
"1999 JUN","-0.5"
"1999 JUL","-0.7"
"1999 AUG","-0.8"
"1999 SEP","-0.9"
"1999 OCT","-1.2"
"1999 NOV","-1.3"
"1999 DEC","-1.7"
"2000 JAN","-1.9"
"2000 FEB","-2.1"
"2000 MAR","-2.4"
"2000 APR","-1.7"
"2000 MAY","-2.0"
"2000 JUN","-2.3"
"2000 JUL","-2.4"
"2000 AUG","-2.3"
"2000 SEP","-2.0"
"2000 OCT","-1.6"
"2000 NOV","-1.6"
"2000 DEC","-1.6"
"2001 JAN","-1.3"
"2001 FEB","1.0"
"2001 MAR","1.1"
"2001 APR","0.5"
"2001 MAY","0.9"
"2001 JUN","1.4"
"2001 JUL","1.0"
"2001 AUG","0.9"
"2001 SEP","1.4"
"2001 OCT","0.7"
"2001 NOV","0.3"
"2001 DEC","0.2"
"2002 JAN","1.4"
"2002 FEB","-1.5"
"2002 MAR","-1.4"
"2002 APR","-1.5"
"2002 MAY","-1.9"
"2002 JUN","-2.6"
"2002 JUL","-1.8"
"2002 AUG","-2.1"
"2002 SEP","-2.3"
"2002 OCT","-1.6"
"2002 NOV","-1.8"
"2002 DEC","-1.6"
"2003 JAN","-1.5"
"2003 FEB","-0.5"
"2003 MAR","-0.5"
"2003 APR","-1.3"
"2003 MAY","-1.6"
